Customer ID;Age;Gender;Item Purchased;Category; Purchase Amount (USD) ;Location;Size;Color;Season;Review Rating;Subscription Status;Shipping Type;Discount Applied;Promo Code Used;Previous Purchases;Payment Method;Frequency of Purchases
57;41;Male;Backpack;Accessories; $ 73,00 ;Mississippi;XL;Brown;Summer;4,7;Yes;Store Pickup;Yes;Yes;46;Credit Card;Weekly
66;65;Male;Backpack;Accessories; $ 36,00 ;New Jersey;M;Purple;Spring;4,8;Yes;2-Day Shipping;Yes;Yes;44;Venmo;Every 3 Months
106;69;Male;Backpack;Accessories; $ 96,00 ;New York;M;Charcoal;Fall;3,6;Yes;Next Day Air;Yes;Yes;4;Bank Transfer;Annually
111;56;Male;Backpack;Accessories; $ 26,00 ;New York;M;Black;Summer;4;Yes;Standard;Yes;Yes;26;Venmo;Fortnightly
123;40;Male;Backpack;Accessories; $ 40,00 ;Washington;L;Brown;Spring;4,8;Yes;2-Day Shipping;Yes;Yes;44;Cash;Fortnightly
133;30;Male;Backpack;Accessories; $ 58,00 ;New Mexico;M;Orange;Fall;4,7;Yes;2-Day Shipping;Yes;Yes;42;PayPal;Weekly
162;65;Male;Backpack;Accessories; $ 49,00 ;North Dakota;M;Olive;Fall;3;Yes;Express;Yes;Yes;29;Venmo;Fortnightly
177;53;Male;Backpack;Accessories; $ 81,00 ;New Hampshire;L;Black;Spring;2,7;Yes;Next Day Air;Yes;Yes;30;Credit Card;Quarterly
187;39;Male;Backpack;Accessories; $ 56,00 ;Minnesota;S;Lavender;Summer;2,9;Yes;Standard;Yes;Yes;31;Debit Card;Annually
195;51;Male;Backpack;Accessories; $ 94,00 ;Missouri;M;Olive;Spring;3,1;Yes;Express;Yes;Yes;15;Debit Card;Quarterly
266;32;Male;Backpack;Accessories; $ 59,00 ;Michigan;M;Gray;Spring;3,2;Yes;2-Day Shipping;Yes;Yes;17;Bank Transfer;Bi-Weekly
276;48;Male;Backpack;Accessories; $ 85,00 ;Virginia;XL;Lavender;Winter;4;Yes;Express;Yes;Yes;13;Credit Card;Weekly
319;45;Male;Backpack;Accessories; $ 67,00 ;South Dakota;M;Beige;Winter;2,5;Yes;Standard;Yes;Yes;10;Cash;Annually
381;39;Male;Backpack;Accessories; $ 69,00 ;New Hampshire;XL;Beige;Fall;3;Yes;Store Pickup;Yes;Yes;19;Bank Transfer;Weekly
403;31;Male;Backpack;Accessories; $ 78,00 ;California;L;Cyan;Fall;3;Yes;Express;Yes;Yes;26;PayPal;Monthly
415;29;Male;Backpack;Accessories; $ 88,00 ;Wyoming;L;Violet;Winter;2,6;Yes;Store Pickup;Yes;Yes;30;Debit Card;Weekly
428;58;Male;Backpack;Accessories; $ 91,00 ;Illinois;L;Black;Winter;4,5;Yes;Store Pickup;Yes;Yes;6;Credit Card;Quarterly
468;19;Male;Backpack;Accessories; $ 51,00 ;Nebraska;S;Orange;Spring;4,5;Yes;2-Day Shipping;Yes;Yes;37;Debit Card;Every 3 Months
469;34;Male;Backpack;Accessories; $ 38,00 ;Georgia;S;Peach;Fall;5;Yes;Free Shipping;Yes;Yes;16;Cash;Quarterly
494;28;Male;Backpack;Accessories; $ 48,00 ;Nevada;XL;Red;Summer;4,7;Yes;Store Pickup;Yes;Yes;19;Cash;Bi-Weekly
549;36;Male;Backpack;Accessories; $ 64,00 ;Nebraska;M;Black;Winter;4,6;Yes;Store Pickup;Yes;Yes;41;Debit Card;Every 3 Months
550;31;Male;Backpack;Accessories; $ 29,00 ;Arizona;S;Olive;Fall;3,6;Yes;Express;Yes;Yes;37;Venmo;Bi-Weekly
566;59;Male;Backpack;Accessories; $ 43,00 ;Idaho;L;Lavender;Fall;4,2;Yes;Store Pickup;Yes;Yes;10;Venmo;Weekly
592;47;Male;Backpack;Accessories; $ 37,00 ;Kentucky;L;Olive;Fall;4,2;Yes;Store Pickup;Yes;Yes;6;Debit Card;Bi-Weekly
602;32;Male;Backpack;Accessories; $ 38,00 ;West Virginia;M;Maroon;Summer;4,7;Yes;Store Pickup;Yes;Yes;5;Cash;Fortnightly
609;41;Male;Backpack;Accessories; $ 25,00 ;Delaware;S;Gold;Fall;3,3;Yes;Next Day Air;Yes;Yes;21;Venmo;Every 3 Months
618;50;Male;Backpack;Accessories; $ 57,00 ;Colorado;M;Maroon;Fall;2,6;Yes;Standard;Yes;Yes;2;Bank Transfer;Quarterly
620;19;Male;Backpack;Accessories; $ 34,00 ;Nebraska;M;Charcoal;Summer;4,6;Yes;Store Pickup;Yes;Yes;1;Debit Card;Every 3 Months
621;33;Male;Backpack;Accessories; $ 89,00 ;Rhode Island;M;Black;Fall;3,7;Yes;2-Day Shipping;Yes;Yes;10;Venmo;Every 3 Months
633;35;Male;Backpack;Accessories; $ 51,00 ;Wyoming;M;Red;Winter;3,9;Yes;Next Day Air;Yes;Yes;19;Venmo;Fortnightly
645;68;Male;Backpack;Accessories; $ 93,00 ;Louisiana;S;Blue;Summer;4,3;Yes;Next Day Air;Yes;Yes;37;Cash;Weekly
659;62;Male;Backpack;Accessories; $ 37,00 ;Louisiana;S;White;Fall;4,9;Yes;Store Pickup;Yes;Yes;20;Venmo;Weekly
692;60;Male;Backpack;Accessories; $ 21,00 ;Massachusetts;L;Silver;Summer;2,9;Yes;Standard;Yes;Yes;37;PayPal;Bi-Weekly
709;37;Male;Backpack;Accessories; $ 50,00 ;Kentucky;L;Beige;Summer;3,4;Yes;Store Pickup;Yes;Yes;19;Cash;Fortnightly
769;64;Male;Backpack;Accessories; $ 95,00 ;Illinois;XL;Red;Spring;2,6;Yes;Express;Yes;Yes;45;Venmo;Weekly
795;69;Male;Backpack;Accessories; $ 50,00 ;Kentucky;XL;Yellow;Winter;4,2;Yes;Store Pickup;Yes;Yes;10;Debit Card;Fortnightly
835;52;Male;Backpack;Accessories; $ 89,00 ;Nevada;M;Indigo;Summer;3,1;Yes;Free Shipping;Yes;Yes;18;Credit Card;Weekly
881;39;Male;Backpack;Accessories; $ 75,00 ;Nevada;L;Red;Spring;3,1;Yes;Express;Yes;Yes;25;Debit Card;Monthly
894;33;Male;Backpack;Accessories; $ 51,00 ;Nebraska;M;Red;Spring;4,7;Yes;Express;Yes;Yes;14;Venmo;Monthly
951;54;Male;Backpack;Accessories; $ 37,00 ;New Mexico;XL;Turquoise;Winter;4,1;Yes;Free Shipping;Yes;Yes;30;PayPal;Quarterly
1005;33;Male;Backpack;Accessories; $ 79,00 ;Tennessee;M;Black;Summer;4,8;Yes;2-Day Shipping;Yes;Yes;44;Cash;Annually
1006;43;Male;Backpack;Accessories; $ 94,00 ;New York;M;Gold;Winter;3,9;Yes;Store Pickup;Yes;Yes;5;Debit Card;Bi-Weekly
1012;43;Male;Backpack;Accessories; $ 25,00 ;Montana;L;Indigo;Spring;2,9;Yes;Next Day Air;Yes;Yes;32;Debit Card;Fortnightly
1084;35;Male;Backpack;Accessories; $ 97,00 ;Washington;L;Teal;Summer;3,3;No;Store Pickup;Yes;Yes;43;Cash;Weekly
1090;40;Male;Backpack;Accessories; $ 61,00 ;Arizona;M;Silver;Spring;3,8;No;Next Day Air;Yes;Yes;33;PayPal;Bi-Weekly
1117;67;Male;Backpack;Accessories; $ 96,00 ;Hawaii;M;Charcoal;Winter;4,2;No;Express;Yes;Yes;39;PayPal;Fortnightly
1170;25;Male;Backpack;Accessories; $ 94,00 ;Wyoming;S;Gray;Fall;4,5;No;2-Day Shipping;Yes;Yes;3;Cash;Annually
1175;42;Male;Backpack;Accessories; $ 31,00 ;Michigan;M;Black;Winter;4,3;No;Express;Yes;Yes;19;Bank Transfer;Bi-Weekly
1305;64;Male;Backpack;Accessories; $ 63,00 ;Montana;S;Orange;Spring;4;No;2-Day Shipping;Yes;Yes;18;PayPal;Every 3 Months
1326;28;Male;Backpack;Accessories; $ 73,00 ;Oregon;L;Gold;Summer;3,5;No;Express;Yes;Yes;1;Cash;Monthly
1355;64;Male;Backpack;Accessories; $ 42,00 ;Maryland;M;Gray;Spring;3,6;No;2-Day Shipping;Yes;Yes;21;Bank Transfer;Quarterly
1358;24;Male;Backpack;Accessories; $ 66,00 ;Texas;S;Red;Summer;3,5;No;Next Day Air;Yes;Yes;20;Cash;Quarterly
1401;36;Male;Backpack;Accessories; $ 23,00 ;Nevada;M;Red;Fall;3,6;No;Next Day Air;Yes;Yes;22;Credit Card;Every 3 Months
1404;26;Male;Backpack;Accessories; $ 20,00 ;Georgia;M;Peach;Spring;3,6;No;Store Pickup;Yes;Yes;20;Credit Card;Bi-Weekly
1410;34;Male;Backpack;Accessories; $ 50,00 ;Idaho;M;Blue;Spring;4,2;No;Standard;Yes;Yes;41;Cash;Fortnightly
1428;31;Male;Backpack;Accessories; $ 90,00 ;South Dakota;S;Orange;Summer;4,9;No;Store Pickup;Yes;Yes;8;Credit Card;Annually
1522;29;Male;Backpack;Accessories; $ 59,00 ;Washington;M;White;Summer;2,7;No;2-Day Shipping;Yes;Yes;50;Bank Transfer;Weekly
1530;20;Male;Backpack;Accessories; $ 63,00 ;Georgia;M;Lavender;Winter;3,1;No;Free Shipping;Yes;Yes;48;Credit Card;Bi-Weekly
1532;63;Male;Backpack;Accessories; $ 83,00 ;Mississippi;S;Violet;Spring;4,5;No;Next Day Air;Yes;Yes;8;PayPal;Bi-Weekly
1558;27;Male;Backpack;Accessories; $ 34,00 ;South Dakota;L;Magenta;Fall;3,5;No;Next Day Air;Yes;Yes;34;PayPal;Quarterly
1565;22;Male;Backpack;Accessories; $ 33,00 ;California;XL;Turquoise;Summer;4,5;No;Next Day Air;Yes;Yes;30;Debit Card;Every 3 Months
1568;30;Male;Backpack;Accessories; $ 33,00 ;Minnesota;M;Turquoise;Spring;4,1;No;Standard;Yes;Yes;9;Cash;Monthly
1596;34;Male;Backpack;Accessories; $ 35,00 ;Wisconsin;S;Magenta;Spring;3,5;No;Standard;Yes;Yes;45;Debit Card;Fortnightly
1624;64;Male;Backpack;Accessories; $ 58,00 ;Indiana;M;Cyan;Summer;3,5;No;Next Day Air;Yes;Yes;50;Debit Card;Annually
1704;39;Male;Backpack;Accessories; $ 22,00 ;California;M;Black;Spring;4;No;Next Day Air;No;No;12;Bank Transfer;Annually
1732;21;Male;Backpack;Accessories; $ 87,00 ;Idaho;M;Gray;Fall;3,1;No;Next Day Air;No;No;12;Cash;Monthly
1771;53;Male;Backpack;Accessories; $ 22,00 ;Michigan;M;Pink;Fall;4,3;No;Express;No;No;34;Bank Transfer;Weekly
1785;32;Male;Backpack;Accessories; $ 31,00 ;Louisiana;L;Yellow;Summer;4,8;No;Standard;No;No;4;Debit Card;Quarterly
1795;60;Male;Backpack;Accessories; $ 40,00 ;Ohio;L;Indigo;Spring;3,7;No;Express;No;No;21;Debit Card;Fortnightly
1810;58;Male;Backpack;Accessories; $ 99,00 ;Alaska;S;Blue;Fall;3,4;No;Free Shipping;No;No;6;Debit Card;Fortnightly
1865;19;Male;Backpack;Accessories; $ 72,00 ;Wyoming;S;Cyan;Fall;3,2;No;2-Day Shipping;No;No;21;Venmo;Quarterly
1884;25;Male;Backpack;Accessories; $ 58,00 ;Georgia;M;Cyan;Spring;4,9;No;Store Pickup;No;No;39;Debit Card;Fortnightly
1907;23;Male;Backpack;Accessories; $ 30,00 ;Vermont;M;Green;Spring;4,6;No;2-Day Shipping;No;No;24;PayPal;Fortnightly
1916;51;Male;Backpack;Accessories; $ 74,00 ;Alabama;M;Magenta;Fall;4,7;No;2-Day Shipping;No;No;44;Cash;Weekly
1920;34;Male;Backpack;Accessories; $ 56,00 ;Virginia;M;Olive;Summer;3,1;No;Express;No;No;20;PayPal;Bi-Weekly
